"schema","hardware","execution_mode","container_image","container_digest","operation","resolution","input","size","fps","frames","warmup_frames","run_index","runs_planned","qp","gop_size","engine_profile","payload_bytes","payload_bpp","codec_time_seconds","throughput_fps","psnr_yuv","peak_memory_mb","peak_gpu_memory_mb","peak_system_memory_mb","min_largest_free_block_mb","memory_sampler","memory_sample_ms"
"resolution-matrix.v1","rtx4070","native","","","decode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","1","720p","1138058","0.098789757","2.355","42.459","38.648291","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","1","720p","1138058","0.098789757","2.605","38.392","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","1","720p","1138058","0.098789757","2.361","42.354","38.648291","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","1","720p","1138058","0.098789757","2.605000","38.390500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","720p","/home/oelghati/NVCR/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","1","720p","1138058","0.098789757","2.358000","42.406500","38.648291","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","1","1080p","1702465","0.065681520","6.024","16.600","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","1","1080p","1702465","0.065681520","5.476","18.261","37.709501","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","1","1080p","1702465","0.065681520","6.031","16.580","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","1","1080p","1702465","0.065681520","5.495","18.198","37.709501","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","2","32","1","1080p","1702465","0.065681520","6.027500","16.590000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","1080p","/home/oelghati/NVCR/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","2","32","1","1080p","1702465","0.065681520","5.485500","18.229500","37.709501","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","30","qcif","13283","0.041928662","0.110","907.495","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","30","qcif","13283","0.041928662","0.097","1031.164","38.156101","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","30","qcif","13283","0.041928662","0.113","888.705","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","30","qcif","13283","0.041928662","0.097","1033.397","38.156101","null","null","null","null","none","0"
