schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","1","3","63","1","qcif","495386","0.587864073","0.481","553.546","null"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","1","3","63","1","qcif","495386","0.587864073","0.438","607.752","42.426917"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","2","3","63","1","qcif","495386","0.587864073","0.470","566.549","null"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","2","3","63","1","qcif","495386","0.587864073","0.439","605.903","42.426917"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","3","3","63","1","qcif","495386","0.587864073","0.470","566.082","null"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","3","3","63","1","qcif","495386","0.587864073","0.439","606.318","42.426917"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","average","3","63","1","qcif","495386","0.587864073","0.473667","562.059000","null"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","266","10","average","3","63","1","qcif","495386","0.587864073","0.438667","606.657667","42.426917"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","1","3","63","1","cif","8577295","2.544623574","1.012","262.851","null"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","1","3","63","1","cif","8577295","2.544623574","1.191","223.268","31.915364"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","2","3","63","1","cif","8577295","2.544623574","0.997","266.934","null"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","2","3","63","1","cif","8577295","2.544623574","1.193","222.935","31.915364"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","3","3","63","1","cif","8577295","2.544623574","0.998","266.553","null"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","3","3","63","1","cif","8577295","2.544623574","1.193","222.881","31.915364"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","average","3","63","1","cif","8577295","2.544623574","1.002333","265.446000","null"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","266","10","average","3","63","1","cif","8577295","2.544623574","1.192333","223.028000","31.915364"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","266","10","1","3","63","1","720p","9222171","0.300953262","6.955","38.246","null"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","266","10","1","3","63","1","720p","9222171","0.300953262","6.364","41.800","43.695224"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","266","10","2","3","63","1","720p","9222171","0.300953262","6.951","38.266","null"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","266","10","2","3","63","1","720p","9222171","0.300953262","6.375","41.723","43.695224"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","266","10","3","3","63","1","720p","9222171","0.300953262","6.970","38.162","null"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","266","10","3","3","63","1","720p","9222171","0.300953262","6.357","41.845","43.695224"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","266","10","average","3","63","1","720p","9222171","0.300953262","6.958667","38.224667","null"
