campaign,sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,median,sample_std,cv_percent,minimum,maximum,ci95_low,ci95_high
full,akiyo-qcif,176,144,0,1,python,decode,memory,process_peak_rss_mib,10,1377.0953125,1376.349609375,2.360184136227731,0.17138858253340625,1374.21875,1382.2421875,1375.4069384787454,1378.7836865212548
full,akiyo-qcif,176,144,0,1,python,decode,throughput,codec_seconds,10,2.4681362563030236,2.471271357995647,0.02458966624880272,0.9962847952987465,2.4307520920046954,2.501764728996932,2.4505458687359942,2.485726643870053
full,akiyo-qcif,176,144,0,1,python,decode,throughput,process_fps,10,8.013623836036473,8.028374250298029,0.09818216611856455,1.2251906019976764,7.836751111007396,8.129932350538775,7.943388545458664,8.083859126614282
full,akiyo-qcif,176,144,0,1,python,decode,throughput,process_seconds,10,12.480445031999398,12.45591777799973,0.15382430302219122,1.2325225793454593,12.300225350998517,12.760389935000148,12.370405754523631,12.590484309475166
full,akiyo-qcif,176,144,0,1,python,decode,throughput,throughput_fps,10,40.52003161408919,40.46556906624467,0.40484086781317435,0.9991129120254868,39.97178425330763,41.13953057118539,40.23042590347272,40.80963732470566
full,akiyo-qcif,176,144,0,1,python,encode,memory,process_peak_rss_mib,10,1402.141796875,1402.48046875,2.9810566204770446,0.21260735733868177,1397.61328125,1405.55078125,1400.0092774343993,1404.2743163156006
full,akiyo-qcif,176,144,0,1,python,encode,throughput,codec_seconds,10,2.678838655494064,2.6683514039978036,0.0400703485789309,1.4958104511725674,2.6320607680008834,2.74342066598183,2.6501740549127657,2.7075032560753627
full,akiyo-qcif,176,144,0,1,python,encode,throughput,process_fps,10,7.895908589172036,7.918675813349262,0.11196456612510558,1.4180073750935631,7.7016579215062375,8.022874547132512,7.815813963568454,7.976003214775618
full,akiyo-qcif,176,144,0,1,python,encode,throughput,process_seconds,10,12.6670964189997,12.628374194499884,0.18097679942071315,1.4287157327488362,12.464360424997722,12.984217297000214,12.537633415710426,12.796559422288974
full,akiyo-qcif,176,144,0,1,python,encode,throughput,throughput_fps,10,37.33707856987212,37.476489139442634,0.5548765937729976,1.4861275038822568,36.45084446581271,37.993043783693686,36.94014376654532,37.73401337319892
full,akiyo-qcif,176,144,0,30,python,decode,memory,process_peak_rss_mib,10,1405.913671875,1406.185546875,1.8891783897598193,0.13437371209573004,1403.046875,1408.953125,1404.5622350672415,1407.2651086827586
full,akiyo-qcif,176,144,0,30,python,decode,throughput,codec_seconds,10,1.628010987402695,1.622375622007894,0.025364314235726222,1.5579940450028584,1.5957616020023124,1.6594326459999138,1.6098664500485098,1.64615552475688
full,akiyo-qcif,176,144,0,30,python,decode,throughput,process_fps,10,8.632821469539623,8.64643685888121,0.09004144758584003,1.0430129697868271,8.415730558298952,8.754072469688516,8.568409698183904,8.697233240895342
full,akiyo-qcif,176,144,0,30,python,decode,throughput,process_seconds,10,11.584847476099867,11.565457732998766,0.12242502372514906,1.0567685416464752,11.423254758999974,11.882509701001254,11.497269889912296,11.672425062287438
full,akiyo-qcif,176,144,0,30,python,decode,throughput,throughput_fps,10,61.438049020605405,61.639246468203574,0.955839363635937,1.5557775334229165,60.26156002236755,62.66600216130222,60.75428273081294,62.12181531039787
full,akiyo-qcif,176,144,0,30,python,encode,memory,process_peak_rss_mib,10,1474.305859375,1473.693359375,2.681717076654605,0.18189692861910353,1469.8203125,1479.7421875,1472.3874745443081,1476.2242442056918
full,akiyo-qcif,176,144,0,30,python,encode,throughput,codec_seconds,10,1.706409931402959,1.706416174989954,0.015892479777662498,0.9313400892244091,1.6829467580173514,1.7330704439991678,1.695041136240728,1.71777872656519
full,akiyo-qcif,176,144,0,30,python,encode,throughput,process_fps,10,8.51710471116661,8.523720740648844,0.08496778583168373,0.997613493236547,8.399236646698839,8.696274200257037,8.456322418785376,8.577887003547843
full,akiyo-qcif,176,144,0,30,python,encode,throughput,process_seconds,10,11.742124660900254,11.731967430499935,0.11646196823012155,0.991830453119994,11.499177429001065,11.905843853000988,11.658812787641843,11.825436534158666
full,akiyo-qcif,176,144,0,30,python,encode,throughput,throughput_fps,10,58.607132239386104,58.602375482026744,0.5448276517823516,0.9296268746898484,57.701059034417426,59.419586224942826,58.21738601611019,58.99687846266202
full,akiyo-qcif,176,144,0,100,python,decode,memory,process_peak_rss_mib,10,1404.36875,1404.375,2.5203061227703984,0.17946184880362784,1401.078125,1409.24609375,1402.5658316098716,1406.1716683901286
