schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","3","32","1","540p","700010","0.108026235","1.294","77.290","null","489.339844","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","3","32","1","540p","700010","0.108026235","1.289","77.557","37.301491","493.628906","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","3","32","1","540p","700010","0.108026235","1.293","77.367","null","489.375","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","3","32","1","540p","700010","0.108026235","1.284","77.863","37.301491","493.574219","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","3","3","32","1","540p","700010","0.108026235","1.298","77.048","null","489.308594","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","3","3","32","1","540p","700010","0.108026235","1.286","77.732","37.301491","493.640625","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","3","32","1","540p","700010","0.108026235","1.295000","77.235000","null","489.375000","1220.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","3","32","1","540p","700010","0.108026235","1.286333","77.717333","37.301491","493.640625","1220.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","3","32","1","720p","1138058","0.098789757","2.615","38.244","null","503.539062","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","3","32","1","720p","1138058","0.098789757","2.383","41.957","38.648291","515.273438","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","3","32","1","720p","1138058","0.098789757","2.611","38.294","null","503.5625","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","3","32","1","720p","1138058","0.098789757","2.391","41.826","38.648291","515.265625","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","3","3","32","1","720p","1138058","0.098789757","2.613","38.270","null","503.601562","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","3","3","32","1","720p","1138058","0.098789757","2.374","42.130","38.648291","515.292969","1536.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","3","32","1","720p","1138058","0.098789757","2.613000","38.269333","null","503.601562","1536.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","3","32","1","720p","1138058","0.098789757","2.382667","41.971000","38.648291","515.292969","1536.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","3","32","1","1080p","1702465","0.065681520","6.029","16.587","null","523.496094","2234.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","3","32","1","1080p","1702465","0.065681520","5.527","18.094","37.709501","605.472656","2234.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","3","32","1","1080p","1702465","0.065681520","6.036","16.568","null","523.511719","2234.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","3","32","1","1080p","1702465","0.065681520","5.527","18.092","37.709501","551.871094","2234.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","3","3","32","1","1080p","1702465","0.065681520","6.043","16.548","null","523.5","2234.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","3","3","32","1","1080p","1702465","0.065681520","5.541","18.047","37.709501","594.042969","2234.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","3","32","1","1080p","1702465","0.065681520","6.036000","16.567667","null","523.511719","2234.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","3","32","1","1080p","1702465","0.065681520","5.531667","18.077667","37.709501","605.472656","2234.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","3","32","30","qcif","13849","0.043715278","0.111","901.757","null","479.3125","900.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","3","32","30","qcif","13849","0.043715278","0.097","1028.659","38.293211","537.207031","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","3","32","30","qcif","13849","0.043715278","0.102","976.451","null","479.433594","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","3","32","30","qcif","13849","0.043715278","0.097","1029.491","38.293211","479.464844","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","3","3","32","30","qcif","13849","0.043715278","0.103","974.934","null","479.382812","896.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","3","3","32","30","qcif","13849","0.043715278","0.097","1029.354","38.293211","479.363281","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","3","32","30","qcif","13849","0.043715278","0.105333","951.047333","null","479.433594","932.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","3","32","30","qcif","13849","0.043715278","0.097000","1029.168000","38.293211","537.207031","932.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","3","32","30","cif","66167","0.052215120","0.190","527.340","null","477.203125","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","3","32","30","cif","66167","0.052215120","0.172","580.124","34.657187","477.351562","982.0","null","null","procfs+nvidia-smi","100"
