schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","2","2","32","1","360p","409727","0.142266319","2.408","41.533","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","2","2","32","1","360p","409727","0.142266319","2.177","45.931","36.177398","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","average","2","32","1","360p","409727","0.142266319","2.420000","41.325500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","average","2","32","1","360p","409727","0.142266319","2.199500","45.464000","36.177398","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","1","2","32","1","540p","700081","0.108037191","4.757","21.022","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","1","2","32","1","540p","700081","0.108037191","4.131","24.205","37.293340","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","2","2","32","1","540p","700081","0.108037191","4.757","21.024","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","2","2","32","1","540p","700081","0.108037191","4.121","24.266","37.293340","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","average","2","32","1","540p","700081","0.108037191","4.757000","21.023000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","average","2","32","1","540p","700081","0.108037191","4.126000","24.235500","37.293340","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","1","2","32","1","720p","1137492","0.098740625","8.722","11.465","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","1","2","32","1","720p","1137492","0.098740625","7.270","13.756","38.649586","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","2","2","32","1","720p","1137492","0.098740625","8.772","11.399","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","2","2","32","1","720p","1137492","0.098740625","7.333","13.638","38.649586","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","average","2","32","1","720p","1137492","0.098740625","8.747000","11.432000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","average","2","32","1","720p","1137492","0.098740625","7.301500","13.697000","38.649586","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","100","10","1","2","32","1","1080p","1701636","0.065649537","19.272","5.189","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","100","10","1","2","32","1","1080p","1701636","0.065649537","15.981","6.258","37.708906","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","100","10","2","2","32","1","1080p","1701636","0.065649537","20.121","4.970","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","100","10","2","2","32","1","1080p","1701636","0.065649537","16.400","6.098","37.708906","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","100","10","average","2","32","1","1080p","1701636","0.065649537","19.696500","5.079500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","100","10","average","2","32","1","1080p","1701636","0.065649537","16.190500","6.178000","37.708906","null","null","null","null","","0"
