sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,sample_std,cv_percent,minimum,maximum
akiyo-qcif,176,144,42,100,python,decode,memory,process_peak_rss_mib,10,1353.4796875,0.13653633664324796,0.010087800940363057,1353.27734375,1353.703125
akiyo-qcif,176,144,42,100,python,decode,throughput,codec_seconds,10,0.28884485939981913,0.004099323183111321,1.4192127883560623,0.2856285560028482,0.2962190489979548
akiyo-qcif,176,144,42,100,python,decode,throughput,process_seconds,10,3.5790361838001443,0.022574830692024768,0.6307516753869555,3.5580763879997903,3.639072957999815
akiyo-qcif,176,144,42,100,python,decode,throughput,throughput_fps,10,346.26842983188146,4.8399614104788435,1.3977483921444174,337.58801244645963,350.10505041730784
akiyo-qcif,176,144,42,100,python,encode,memory,process_peak_rss_mib,10,1359.40234375,0.1777617977165807,0.013076466914586391,1359.19140625,1359.7265625
akiyo-qcif,176,144,42,100,python,encode,throughput,codec_seconds,10,0.3568101537983921,0.0015988023852825438,0.44808208742453914,0.3547946430007869,0.35917516500194324
akiyo-qcif,176,144,42,100,python,encode,throughput,process_seconds,10,3.6525506303998667,0.011936489222451878,0.32679873409845434,3.6283495320003567,3.669020179000654
akiyo-qcif,176,144,42,100,python,encode,throughput,throughput_fps,10,280.26614666243165,1.2557351754746913,0.4480509652802161,278.4156861164356,281.8531845752198
akiyo-qcif,176,144,63,1,nvcr,decode,memory,process_peak_rss_mib,10,519.636328125,0.1151508495548852,0.022159892086525818,519.4453125,519.79296875
akiyo-qcif,176,144,63,1,nvcr,decode,throughput,codec_seconds,10,0.1730074894,0.0002657320347911936,0.1535956828879303,0.172694554,0.173540685
akiyo-qcif,176,144,63,1,nvcr,decode,throughput,process_seconds,10,1.2579234578001377,0.021390914408075615,1.700494117939747,1.2096631500000399,1.288613992000137
akiyo-qcif,176,144,63,1,nvcr,decode,throughput,throughput_fps,10,578.0108850011608,0.8866915138157799,0.1534039473692609,576.2337517568286,579.0570558467061
akiyo-qcif,176,144,63,1,nvcr,encode,memory,process_peak_rss_mib,10,519.44765625,0.07156011185971553,0.013776193038644696,519.3046875,519.546875
akiyo-qcif,176,144,63,1,nvcr,encode,throughput,codec_seconds,10,0.1922296381,0.004142052715890687,2.1547419829901284,0.190665932,0.20400684
akiyo-qcif,176,144,63,1,nvcr,encode,throughput,process_seconds,10,1.2791426898001532,0.022044962790044798,1.723417017181171,1.2382303519998459,1.3196664410006633
akiyo-qcif,176,144,63,1,nvcr,encode,throughput,throughput_fps,10,520.4174053105901,10.636072933751324,2.043758111319051,490.17964299628386,524.4775453645279
akiyo-qcif,176,144,63,1,python,decode,memory,process_peak_rss_mib,10,1263.912890625,0.15628309111398572,0.012365020744167293,1263.703125,1264.16796875
akiyo-qcif,176,144,63,1,python,decode,throughput,codec_seconds,10,0.40177885540006175,0.002839765874449526,0.7067982389520963,0.3951522930055944,0.40551866900023015
akiyo-qcif,176,144,63,1,python,decode,throughput,process_seconds,10,3.5922499289999905,0.00962016135938174,0.2678032305524966,3.5782367550000345,3.6092119449995153
akiyo-qcif,176,144,63,1,python,decode,throughput,throughput_fps,10,248.90441589853864,1.7730373649874147,0.7123366448067202,246.597771309866,253.0669865012886
