campaign,campaign_fingerprint,execution_id,case_id,sequence,width,height,qp,gop,implementation,operation,mode,repeat,frames,timed_frames,warmup_frames,codec_seconds,throughput_fps,initialization_seconds,process_seconds,process_fps,process_peak_rss_mib,file_bytes,entropy_bytes,file_bpp,entropy_bpp,pooled_psnr_yuv_db
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,7f9c7583-f4b8-4e17-9df1-a7f21c51c292-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,memory,7,100,100,10,0.167129121,598.3397710803494,0.935946069,1.2597692359995563,,519.703125,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,7f9c7583-f4b8-4e17-9df1-a7f21c51c292-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,memory,7,100,100,10,0.190744803,524.260679332899,0.934522404,1.2811883190006483,,519.19140625,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,6bdf777b-3749-4e3d-86d4-4e841c2e3c6e-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,memory,8,100,100,10,0.167171709,598.1873404189461,0.900012591,1.2095502920019499,,519.7578125,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,6bdf777b-3749-4e3d-86d4-4e841c2e3c6e-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,memory,8,100,100,10,0.190701271,524.3803540250133,0.936565751,1.2899185970018152,,519.46484375,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,100ca3e2-0e55-4561-8982-d076adf470d1-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,memory,9,100,100,10,0.167847746,595.7780332659338,0.940240282,1.2506697280005028,,519.77734375,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,100ca3e2-0e55-4561-8982-d076adf470d1-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,memory,9,100,100,10,0.190367877,525.2987088782842,0.948991826,1.2902422779989138,,519.35546875,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,79972a59-5111-4b5d-8d32-c36c0ff875cc-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,quality,0,100,100,10,0.167863896,595.7207141194912,0.914414134,1.2307545460025722,,,,,,,28.627825997194265
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,79972a59-5111-4b5d-8d32-c36c0ff875cc-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,quality,0,100,100,10,0.190723606,524.3189456055062,0.906149236,1.241124886997568,,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,37b41527-1138-4054-ad23-940df3b20467-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,0,100,100,10,0.167405488,597.3519816745793,0.915231101,1.229616544999999,81.32616660586662,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,37b41527-1138-4054-ad23-940df3b20467-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,0,100,100,10,0.196948272,507.7475368760788,0.938324324,1.2811248030000115,78.05640774874539,,24666,15458,0.07785984848484849,0.04879419191919192,
