campaign,sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,median,sample_std,cv_percent,minimum,maximum,ci95_low,ci95_high
full,akiyo-qcif,176,144,0,1,nvcr,decode,memory,process_peak_rss_mib,10,997.31328125,996.994140625,0.796578784814576,0.07987247335322459,996.48046875,998.44140625,996.7434431151191,997.883119384881
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,codec_seconds,10,1.3443708251,1.352634218,0.034778851866789605,2.586998409773033,1.259651011,1.382306393,1.3194915332347465,1.3692501169652533
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,process_fps,10,23.651310688988104,23.541773077887008,0.2750996998762744,1.1631477996877317,23.385609508462757,24.20103260913503,23.45451621884629,23.84810515912992
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,process_seconds,10,4.228604950299745,4.247772008499851,0.048668669422669814,1.150939139377868,4.13205509099862,4.2761340029992425,4.193789481522975,4.263420419076516
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,throughput_fps,10,74.43088629214282,73.92983824198387,2.004272033578777,2.692796140720354,72.34286154386614,79.38706762963888,72.99711645144295,75.86465613284268
full,akiyo-qcif,176,144,0,1,nvcr,encode,memory,process_peak_rss_mib,10,1005.583203125,1005.099609375,1.75507700925942,0.17453324635945153,1004.0390625,1009.16796875,1004.3276966658849,1006.838709584115
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,codec_seconds,10,0.8420466926,0.8385905954999999,0.01945278739893787,2.310179182448091,0.820399342,0.874891491,0.8281310067934469,0.8559623784065531
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,process_fps,10,26.906046699135608,26.92991195748551,0.1979675381334871,0.7357734131184983,26.652864832429966,27.188102048486858,26.76442925357031,27.047664144700907
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,process_seconds,10,3.7168175702999178,3.713345967999885,0.027317591399057973,0.7349726179015469,3.6780794710002738,3.7519418880001467,3.697275742637634,3.7363593979622016
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,throughput_fps,10,118.81488044936467,119.26531842290593,2.723615979624742,2.2923189160514834,114.29988864756258,121.8918578801103,116.86652294907991,120.76323794964942
