sequence,width,height,qp,gop,nvcr_psnr_yuv_db,python_psnr_yuv_db,psnr_delta_python_minus_nvcr_db,nvcr_entropy_bpp,python_entropy_bpp,entropy_bpp_delta_percent,nvcr_file_bpp,python_file_bpp,file_bpp_delta_percent
basketball-360p,640,360,63,30,40.330353820,40.354272731,0.023918912,0.150417361111,0.150387152778,-0.020083010,0.153614583333,0.150530902778,-2.007413937
basketball-360p,640,360,63,100,40.200041388,40.221070889,0.021029501,0.132690625000,0.132714930556,0.018317463,0.135887847222,0.132857986111,-2.229677762
basketball-540p,960,540,0,1,31.172447653,31.171163066,-0.001284588,0.027385030864,0.027377777778,-0.026485588,0.028806018519,0.027440432099,-4.740628834
basketball-540p,960,540,0,30,29.720638173,29.716726127,-0.003912046,0.003791820988,0.003795833333,0.105815799,0.005212808642,0.003853086420,-26.084253530
basketball-540p,960,540,0,100,29.284002506,29.283154186,-0.000848320,0.002770216049,0.002766820988,-0.122555846,0.004191203704,0.002823148148,-32.641113443
basketball-540p,960,540,21,1,35.133963843,35.137504126,0.003540283,0.065934567901,0.065784104938,-0.228200423,0.067355555556,0.065846759259,-2.240047289
basketball-540p,960,540,21,30,33.859810138,33.891069286,0.031259148,0.012743055556,0.012714969136,-0.220405692,0.014164043210,0.012778549383,-9.781767866
basketball-540p,960,540,21,100,33.504539761,33.517048323,0.012508562,0.010054783951,0.010024228395,-0.303890722,0.011475771605,0.010087808642,-12.094724527
basketball-540p,960,540,42,1,39.165446081,39.179742036,0.014295956,0.162659259259,0.162385339506,-0.168400959,0.164080246914,0.162447993827,-0.994789511
basketball-540p,960,540,42,30,37.793710733,37.806594077,0.012883344,0.040608024691,0.040560956790,-0.115907882,0.042029012346,0.040624537037,-3.341680497
basketball-540p,960,540,42,100,37.578310505,37.591960478,0.013649973,0.034327777778,0.034272376543,-0.161388934,0.035748765432,0.034335956790,-3.952048763
basketball-540p,960,540,63,1,42.843409979,42.883792589,0.040382610,0.386152314815,0.386043364198,-0.028214415,0.387573302469,0.386136882716,-0.370618859
basketball-540p,960,540,63,30,41.098138791,41.125207293,0.027068502,0.118581790123,0.118394907407,-0.157598157,0.120002777778,0.118460030864,-1.285592669
basketball-540p,960,540,63,100,40.971870096,40.993956971,0.022086875,0.105151234568,0.104937500000,-0.203263964,0.106572222222,0.105001697531,-1.473671712
fourpeople-720p,1280,720,0,1,31.863786261,31.890266323,0.026480061,0.026719010417,0.026677170139,-0.156593665,0.027518315972,0.026712413194,-2.928605001
fourpeople-720p,1280,720,0,30,33.838368436,33.871687631,0.033319195,0.002863975694,0.002863975694,0.000000000,0.003663281250,0.002893576389,-21.011350442
fourpeople-720p,1280,720,0,100,33.642059970,33.771475352,0.129415381,0.001279513889,0.001286371528,0.535956581,0.002078819444,0.001314843750,-36.750459329
fourpeople-720p,1280,720,21,1,36.390134490,36.424348498,0.034214008,0.064536024306,0.064397743056,-0.214269862,0.065335329861,0.064432986111,-1.381096188
fourpeople-720p,1280,720,21,30,38.499746819,38.560681055,0.060934236,0.007390625000,0.007368402778,-0.300681231,0.008189930556,0.007400694444,-9.636664264
fourpeople-720p,1280,720,21,100,38.368786006,38.491273654,0.122487649,0.003629861111,0.003626822917,-0.083700019,0.004429166667,0.003658420139,-17.401614926
fourpeople-720p,1280,720,42,1,40.490318112,40.543369631,0.053051519,0.140371180556,0.140068142361,-0.215883484,0.141170486111,0.140103559028,-0.755772055
fourpeople-720p,1280,720,42,30,41.854905791,41.926477914,0.071572123,0.017408420139,0.017292534722,-0.665686006,0.018207725694,0.017328298611,-4.829966675
fourpeople-720p,1280,720,42,100,41.772898691,41.890933013,0.118034322,0.010030989583,0.009945486111,-0.852393191,0.010830295139,0.009981250000,-7.839538332
fourpeople-720p,1280,720,63,1,43.729661409,43.827772749,0.098111340,0.301020225694,0.300785590278,-0.077946728,0.301819531250,0.300838194444,-0.325140259
