schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","1","540p","699698","0.107978086","10.479","9.543","null","1096.558594","null","2376.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","1","540p","699698","0.107978086","8.765","11.409","37.310212","1101.160156","null","2380.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","2","32","1","540p","699698","0.107978086","10.496","9.527","null","1096.554688","null","2385.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","2","32","1","540p","699698","0.107978086","8.813","11.347","37.310212","1101.824219","null","2383.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","2","32","1","540p","699698","0.107978086","10.487500","9.535000","null","1096.558594","null","2385.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","2","32","1","540p","699698","0.107978086","8.789000","11.378000","37.310212","1101.824219","null","2383.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","1","720p","1138318","0.098812326","18.861","5.302","null","1076.890625","null","2353.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","1","720p","1138318","0.098812326","15.417","6.487","38.648073","1087.582031","null","2371.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","1","720p","1138318","0.098812326","18.851","5.305","null","1074.046875","null","2354.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","1","720p","1138318","0.098812326","15.260","6.553","38.648073","1084.402344","null","2361.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","1","720p","1138318","0.098812326","18.856000","5.303500","null","1076.890625","null","2354.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","1","720p","1138318","0.098812326","15.338500","6.520000","38.648073","1087.582031","null","2371.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","1","1080p","1701635","0.065649498","41.038","2.437","null","1094.167969","null","2370.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","1","1080p","1701635","0.065649498","33.175","3.014","37.710121","1122.695312","null","2404.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","1","1080p","1701635","0.065649498","41.356","2.418","null","1096.214844","null","2384.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","1","1080p","1701635","0.065649498","32.898","3.040","37.710121","1122.675781","null","2404.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","2","32","1","1080p","1701635","0.065649498","41.197000","2.427500","null","1096.214844","null","2384.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","2","32","1","1080p","1701635","0.065649498","33.036500","3.027000","37.710121","1122.695312","null","2404.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","30","qcif","13269","0.041884470","0.499","200.554","null","1084.234375","null","2361.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","30","qcif","13269","0.041884470","0.759","131.682","38.099315","1073.859375","null","2351.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","30","qcif","13269","0.041884470","0.497","201.027","null","1086.195312","null","2359.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","30","qcif","13269","0.041884470","0.820","121.980","38.099315","1073.890625","null","2355.0","4.0","procfs+nvidia-smi+tegrastats","100"
